D:/Sources/Other/renderdoc-profiler-counters/example.rdc - Frame #4294967295

 EID  | Event                                                         | Action #
1454  |           - DrawIndexedInstanced(1212, 1)                     | 228   
1456  |           - DrawIndexedInstanced(1212, 1)                     | 229   
1458  |           - DrawIndexedInstanced(1212, 1)                     | 230   
1460  |           - DrawIndexedInstanced(1212, 1)                     | 231   
1462  |           - DrawIndexedInstanced(1212, 1)                     | 232   
1464  |           - DrawIndexedInstanced(1212, 1)                     | 233   
1466  |           - DrawIndexedInstanced(1212, 1)                     | 234   
1468  |           - DrawIndexedInstanced(1212, 1)                     | 235   
1470  |           - DrawIndexedInstanced(1212, 1)                     | 236   
1472  |           - DrawIndexedInstanced(1212, 1)                     | 237   
1474  |           - DrawIndexedInstanced(1212, 1)                     | 238   
1476  |           - DrawIndexedInstanced(1212, 1)                     | 239   
1478  |           - DrawIndexedInstanced(1212, 1)                     | 240   
1480  |           - DrawIndexedInstanced(1212, 1)                     | 241   
1482  |           - DrawIndexedInstanced(1212, 1)                     | 242   
1484  |           - DrawIndexedInstanced(1212, 1)                     | 243   
1486  |           - DrawIndexedInstanced(1212, 1)                     | 244   
1488  |           - DrawIndexedInstanced(1212, 1)                     | 245   
1490  |           - DrawIndexedInstanced(1212, 1)                     | 246   
1492  |           - DrawIndexedInstanced(1212, 1)                     | 247   
1494  |           - DrawIndexedInstanced(1212, 1)                     | 248   
1496  |           - DrawIndexedInstanced(1212, 1)                     | 249   
1498  |           - DrawIndexedInstanced(1212, 1)                     | 250   
1500  |           - DrawIndexedInstanced(1212, 1)                     | 251   
1502  |           - DrawIndexedInstanced(1212, 1)                     | 252   
1504  |           - DrawIndexedInstanced(1212, 1)                     | 253   
1506  |           - DrawIndexedInstanced(1212, 1)                     | 254   
1508  |           - DrawIndexedInstanced(1212, 1)                     | 255   
1510  |           - DrawIndexedInstanced(1212, 1)                     | 256   
1512  |           - DrawIndexedInstanced(1212, 1)                     | 257   
1514  |           - DrawIndexedInstanced(1212, 1)                     | 258   
1516  |           - DrawIndexedInstanced(1212, 1)                     | 259   
1518  |           - DrawIndexedInstanced(1212, 1)                     | 260   
1520  |           - DrawIndexedInstanced(1212, 1)                     | 261   
1522  |           - DrawIndexedInstanced(1212, 1)                     | 262   
1524  |           - DrawIndexedInstanced(1212, 1)                     | 263   
1526  |           - DrawIndexedInstanced(1212, 1)                     | 264   
1528  |           - DrawIndexedInstanced(1212, 1)                     | 265   
1530  |           - DrawIndexedInstanced(1212, 1)                     | 266   
