EID,GPU Duration (ms),Rasterized Primitives,Samples Passed,VS Invocations,PS Invocations,CS Invocations,dram__bytes_op_read.sum (bytes),dram__bytes_op_write.sum (bytes),gpu__time_active.sum,gpu__time_duration.sum,sm__inst_executed.sum,dram__bytes_op_read.avg (bytes),dram__bytes_op_write.avg (bytes),sm__inst_executed.avg,tpc__average_registers_per_thread_shader_3d.avg.ratio,l1tex__t_sector_hit_rate.avg.pct (%),lts__average_t_sector_hit_rate_realtime.avg.pct (%),lts__t_sector_hit_rate.avg.pct (%),smsp__warp_issue_stalled_barrier_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_branch_resolving_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_dispatch_stall_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_drain_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_lg_throttle_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_long_scoreboard_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_long_scoreboard_pipe_l1tex_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_math_pipe_throttle_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_membar_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_mio_throttle_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_mio_throttle_pipe_mio_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_misc_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_no_instruction_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_not_selected_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_selected_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_short_scoreboard_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_sleeping_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_tex_throttle_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_wait_per_warp_active.avg.pct (%),tpc__average_registers_per_thread_shader_3d.avg.pct (%),tpc__average_registers_per_thread_shader_cs.avg.pct (%),tpc__average_registers_per_thread_shader_ps.avg.pct (%),tpc__average_registers_per_thread_shader_vtg.avg.pct (%)
10974,0.01997,14421,22851,59840,22851,0,1140480.00,388864.00,21760.00,21731.48148,1448110.00,190080.00,64810.66667,30168.95833,56.34202,81.3152,83.99076,87.28263,0.00,0.76151,1.66644,0.07898,0.00,18.69304,18.69304,0.23174,0.00,2.44841,2.44841,0.39784,1.5875,7.74136,15.78177,32.61099,0.00,0.48952,17.24754,22.0086,0.00,4.98247,6.51633
10982,0.01853,55664,0,73304,0,0,295424.00,562944.00,20352.00,20305.55556,720839.00,49237.33333,93824.00,15017.47917,64.96013,98.95788,83.3388,83.32411,0.00,0.49104,1.3929,0.12117,0.00,0.00,0.00,0.00546,0.00,0.94117,0.94117,2.89961,1.47114,0.47579,19.20869,53.08796,0.00,0.00,14.76164,25.37505,0.00,0.00,6.28405
10990,0.0175,46576,0,61336,0,0,156672.00,164352.00,19424.00,19388.88889,603151.00,26112.00,27392.00,12565.64583,64.90445,98.75454,83.83318,83.79516,0.00,0.4699,1.3557,0.11575,0.00,0.00,0.00,0.00679,0.00,0.73516,0.73516,2.83132,1.46057,0.58175,18.37754,57.46133,0.00,0.00,14.11335,25.3533,0.00,0.00,6.52701
10998,0.02272,64752,0,85272,0,0,176128.00,165632.00,24032.00,24000.00,838527.00,29354.66667,27605.33333,17469.3125,64.98746,99.10414,83.95733,83.91954,0.00,0.54576,1.6336,0.13504,0.00,0.00,0.00,0.00769,0.00,0.99078,0.99078,3.45722,1.58375,1.1019,21.34077,63.5181,0.00,0.00,16.39789,25.38573,0.00,0.00,6.47723
11006,0.01456,35216,0,46376,0,0,129536.00,65536.00,15808.00,15796.2963,456041.00,21589.33333,10922.66667,9500.85417,64.83832,98.35278,83.78071,83.63904,0.00,0.39222,1.13329,0.09624,0.00,0.00,0.00,0.00646,0.00,0.86456,0.86456,2.47497,1.27844,0.59731,15.34023,49.07782,0.00,0.00,11.78733,25.32747,0.00,0.00,6.3179
11014,0.02685,90880,0,119680,0,0,140544.00,132352.00,28352.00,28324.07407,1176880.00,23424.00,22058.66667,24518.33333,65.05633,99.3617,84.19145,84.06485,0.00,0.57928,1.64122,0.14375,0.00,0.00,0.00,0.00787,0.00,0.81489,0.81489,3.30666,1.65448,0.4767,22.6529,55.61818,0.00,0.00,17.39974,25.41263,0.00,0.00,6.46677
11022,0.02877,101104,0,133144,0,0,123904.00,98304.00,30368.00,30305.55556,1309279.00,20650.66667,16384.00,27276.64583,65.08273,99.42625,84.27819,84.28741,0.00,0.59289,1.73837,0.14705,0.00,0.00294,0.00294,0.00675,0.00,0.80533,0.80533,3.33631,1.66835,0.7656,23.19047,57.23852,0.00,0.00,17.80443,25.42294,0.00,0.00,6.18821
11030,0.02896,94288,3,124168,3,0,138496.00,55552.00,30368.00,30351.85185,1222399.00,23082.66667,9258.66667,25466.64583,65.02493,99.2131,84.29224,84.34755,0.00,0.5581,1.57057,0.13827,0.00,0.04008,0.04008,0.00488,0.00,0.95044,0.95044,3.08785,1.57798,0.42764,21.79282,60.64397,0.00,0.00,16.75331,25.40036,0.00,4.39409,6.2931
11038,0.028,63616,2468,83776,2468,0,181248.00,88576.00,29696.00,29675.92593,1016008.00,30208.00,14762.66667,21166.83333,61.92854,82.56563,84.38371,84.67979,0.00,0.63315,1.58175,0.11331,0.00,2.9983,2.9983,0.05342,0.00,0.89512,0.89512,2.34291,1.61069,1.6553,19.46407,52.64918,0.00,0.00006,17.19158,24.19083,0.00,4.8442,6.51276
11046,0.02096,26128,6756,34408,6756,0,207104.00,88320.00,22880.00,22879.62963,694555.00,34517.33333,14720.00,14469.89583,57.97991,83.2811,84.22068,84.28212,0.00,0.78208,1.0034,0.09079,0.00,7.79835,7.79835,0.07882,0.00,0.70129,0.70129,1.47415,1.71721,1.07622,17.44937,50.58345,0.00,0.00189,18.9243,22.6484,0.00,4.89674,6.85854
11054,0.0169,15904,8209,20944,8209,0,218624.00,116736.00,17824.00,17814.81481,580174.00,36437.33333,19456.00,12086.95833,56.57282,84.03757,83.93306,83.83198,0.00,0.8309,0.93674,0.08144,0.00,10.83952,10.83952,0.09623,0.00,0.6649,0.6649,1.12657,1.88854,1.23844,16.70299,42.95731,0.00,0.00244,19.49529,22.09876,0.00,4.89378,6.21716
